,Latitude,Longitude,Altitude,Timestamp,Speed
112,24.122465,120.671939,61.4,2023-04-17T14:28:27+0800,4.71328
113,24.122415,120.671937,52.0,2023-04-17T14:28:44+0800,
114,24.122418,120.671991,55.0,2023-04-17T14:29:00+0800,
115,24.122568,120.672044,63.8,2023-04-17T14:29:23+0800,4.7171
116,24.123023,120.672027,64.8,2023-04-17T14:29:28+0800,4.719544
117,24.12337,120.672037,64.7,2023-04-17T14:29:31+0800,4.719753
118,24.123591,120.672152,64.4,2023-04-17T14:29:33+0800,4.711998
119,24.123684,120.672233,64.9,2023-04-17T14:29:34+0800,4.706505
120,24.123844,120.672437,64.8,2023-04-17T14:29:36+0800,8.42426
121,24.123896,120.672548,65.0,2023-04-17T14:29:37+0800,9.327766
122,24.123974,120.672942,62.0,2023-04-17T14:29:44+0800,
123,24.123597,120.672028,63.0,2023-04-17T14:29:57+0800,4.691681
124,24.12348,120.671978,62.7,2023-04-17T14:29:58+0800,4.694673
125,24.123356,120.671947,62.1,2023-04-17T14:29:59+0800,4.700415
126,24.123041,120.671952,61.1,2023-04-17T14:30:02+0800,4.701744
127,24.122542,120.671924,61.4,2023-04-17T14:30:25+0800,4.713327
128,24.122489,120.671938,61.3,2023-04-17T14:30:26+0800,4.715485
129,24.1224,120.671936,60.0,2023-04-17T14:30:37+0800,
130,24.122392,120.671986,60.0,2023-04-17T14:30:52+0800,
131,24.122398,120.67206,60.5,2023-04-17T14:30:54+0800,4.7111
132,24.122437,120.672045,60.0,2023-04-17T14:31:15+0800,
133,24.122519,120.67204,63.8,2023-04-17T14:31:20+0800,4.716415
134,24.123077,120.67202,64.0,2023-04-17T14:31:26+0800,4.704329
135,24.123311,120.672026,64.6,2023-04-17T14:31:29+0800,4.708039
136,24.123526,120.672119,64.9,2023-04-17T14:31:31+0800,4.710389
137,24.123618,120.672183,64.8,2023-04-17T14:31:32+0800,4.707323
138,24.123701,120.67226,64.7,2023-04-17T14:31:33+0800,8.28987
139,24.123838,120.672441,64.6,2023-04-17T14:31:35+0800,9.307025
140,24.123893,120.672543,63.8,2023-04-17T14:31:36+0800,8.282364
141,24.123972,120.672929,57.0,2023-04-17T14:32:19+0800,
142,24.124043,120.672571,62.6,2023-04-17T14:32:42+0800,4.695664
143,24.123966,120.672388,64.2,2023-04-17T14:32:44+0800,4.710231
144,24.123861,120.672324,64.8,2023-04-17T14:32:45+0800,4.707288
145,24.123725,120.672172,64.7,2023-04-17T14:32:47+0800,4.698232
146,24.123644,120.672103,64.8,2023-04-17T14:32:48+0800,4.693673
147,24.12345,120.671982,64.2,2023-04-17T14:32:50+0800,4.690772
148,24.123334,120.671962,64.0,2023-04-17T14:32:51+0800,4.691502
149,24.122853,120.671952,62.8,2023-04-17T14:32:55+0800,4.690742
150,24.122804,120.671938,63.0,2023-04-17T14:33:03+0800,
151,24.12258,120.671933,64.1,2023-04-17T14:33:26+0800,4.707042
152,24.122541,120.671918,64.2,2023-04-17T14:33:27+0800,4.709166
153,24.122504,120.671938,64.1,2023-04-17T14:33:28+0800,4.710057
154,24.122419,120.671939,62.0,2023-04-17T14:33:47+0800,
155,24.122415,120.671993,63.1,2023-04-17T14:33:55+0800,4.713605
156,24.122439,120.672053,58.0,2023-04-17T14:34:04+0800,
157,24.12268,120.672016,64.9,2023-04-17T14:34:23+0800,4.710516
158,24.122863,120.672004,65.4,2023-04-17T14:34:25+0800,4.710632
159,24.123073,120.672004,65.4,2023-04-17T14:34:27+0800,4.703871
160,24.123187,120.672018,65.5,2023-04-17T14:34:28+0800,4.712538
161,24.123306,120.672018,65.5,2023-04-17T14:34:29+0800,4.711559
162,24.123525,120.672119,65.2,2023-04-17T14:34:31+0800,4.710327
163,24.123621,120.672185,64.7,2023-04-17T14:34:32+0800,7.609866
164,24.123707,120.672266,64.2,2023-04-17T14:34:33+0800,8.836495
165,24.123837,120.67244,63.8,2023-04-17T14:34:35+0800,9.901654
166,24.123895,120.672546,63.8,2023-04-17T14:34:36+0800,9.044868
167,24.123975,120.672947,60.5,2023-04-17T14:34:44+0800,9.499406
168,24.124143,120.672978,61.3,2023-04-17T14:34:46+0800,9.663052
169,24.123207,120.671948,64.6,2023-04-17T14:34:58+0800,4.669959
170,24.122816,120.671948,57.0,2023-04-17T14:35:06+0800,
171,24.122582,120.671933,63.8,2023-04-17T14:35:23+0800,4.713501
172,24.122417,120.671941,62.0,2023-04-17T14:35:32+0800,
173,24.12242,120.672055,57.0,2023-04-17T14:36:01+0800,
174,24.122933,120.672007,63.6,2023-04-17T14:36:27+0800,4.711227
175,24.123233,120.672012,64.0,2023-04-17T14:36:30+0800,4.71555
176,24.123335,120.672034,64.1,2023-04-17T14:36:31+0800,4.717806
177,24.123531,120.672115,63.9,2023-04-17T14:36:33+0800,4.720471
178,24.123692,120.67225,65.1,2023-04-17T14:36:35+0800,9.137907
179,24.123844,120.672438,64.8,2023-04-17T14:36:37+0800,9.122727
180,24.123888,120.672534,64.4,2023-04-17T14:36:38+0800,8.769525
181,24.123971,120.672926,54.0,2023-04-17T14:37:23+0800,
182,24.124026,120.672644,58.7,2023-04-17T14:37:47+0800,4.676564
183,24.123971,120.67245,60.5,2023-04-17T14:37:49+0800,4.677413
184,24.12389,120.672377,61.5,2023-04-17T14:37:50+0800,4.686035
185,24.123763,120.672213,62.9,2023-04-17T14:37:52+0800,4.690733
186,24.123691,120.672136,63.7,2023-04-17T14:37:53+0800,4.6954
187,24.123444,120.671978,64.0,2023-04-17T14:37:56+0800,4.692955
188,24.123349,120.671965,64.1,2023-04-17T14:37:57+0800,4.693265
189,24.122848,120.671958,62.1,2023-04-17T14:38:03+0800,4.699165
190,24.12258,120.671948,60.5,2023-04-17T14:38:24+0800,4.720872
191,24.122525,120.671936,60.2,2023-04-17T14:38:25+0800,4.723225
192,24.122411,120.671942,52.0,2023-04-17T14:38:34+0800,
193,24.122423,120.67199,63.0,2023-04-17T14:38:53+0800,
194,24.122458,120.671985,62.0,2023-04-17T14:39:21+0800,
195,24.122622,120.672018,63.7,2023-04-17T14:39:23+0800,4.708803
196,24.122882,120.672003,64.2,2023-04-17T14:39:26+0800,4.715478
197,24.123309,120.672016,64.4,2023-04-17T14:39:30+0800,4.719603
198,24.123524,120.672113,64.7,2023-04-17T14:39:32+0800,4.717356
199,24.123697,120.672256,64.7,2023-04-17T14:39:34+0800,8.817573
200,24.123855,120.672451,64.8,2023-04-17T14:39:36+0800,9.913173
201,24.123978,120.67296,60.7,2023-04-17T14:39:45+0800,9.643525
202,24.124141,120.672978,61.5,2023-04-17T14:39:47+0800,8.85701
203,24.123579,120.67202,62.0,2023-04-17T14:39:58+0800,4.678992
204,24.123457,120.671971,62.5,2023-04-17T14:39:59+0800,4.678771
205,24.123334,120.671941,62.9,2023-04-17T14:40:00+0800,4.678579
206,24.12285,120.671935,62.5,2023-04-17T14:40:05+0800,4.698852
207,24.122661,120.671946,64.8,2023-04-17T14:40:23+0800,4.709377
208,24.122548,120.67193,64.2,2023-04-17T14:40:25+0800,4.712509
209,24.122419,120.671938,62.0,2023-04-17T14:40:43+0800,
210,24.122444,120.672051,54.0,2023-04-17T14:41:07+0800,
211,24.122477,120.672087,63.3,2023-04-17T14:41:31+0800,4.703675
